ロボット1	さあ、ご飯を頑張って全部食べましょう。
A君1	なんで？嫌いなものもあるから全部は食べたくないよ。
ロボット2	体に必要な栄養がいっぱい入っているから食べないと駄目だよ。
A君2	なんで駄目なの？不味いものなんか口に入れたら吐いちゃうよ。
ロボット3	ちゃんと大きくなれないし、病気にもなりやすくなっちゃうんだよ？
A君3	大きくなれなくてもいいし、病気になっても薬を飲めば治るもーん。
ロボット4	薬では体は強くなれないんだよ！？大きくなれなかったら、将来したいこともできないんだよ！？
A君4	でも食べたくないものは食べたくないんだよ！
ロボット5	病気になってしまったら、お母さんやお父さんが悲しくて笑顔が無くなってしまうよ？
A君5	それでもしょうがないじゃん。
ロボット6	好きなこともできなくなるし、いっぱい生きられなくなっちゃうよ！
A君6	そんなことにならないよー。
ロボット7	ひどいな、私はA君に好きなことをしていっぱい生きてほしいのに。作ってくれた人もとても悲しむよ。
A君7	うーん、じゃあ、次食べるよ。
ロボット8	ひどいひどい！今日作ってくれた人は泣いてしまうよ！食べ物も、このまま捨てられてしまったらかわいそうだよ！
A君8	今日捨ててもいくらでも食べ物はあるじゃん。
ロボット9	食べ物は育てた人、運んでくれた人、それを調理してくれた人、たくさんの人が頑張って用意してくれているものなんだよ。
A君9	そうなの？
ロボット10	A君が食べなかったら、そのみんなやお母さん、お父さん、私、何人も悲しむんだよ！
A君10	うーん、分かった、頑張って食べてみる。
