ロボット1	A君！ご飯は残さず食べる約束だろ!!!
A君1	でも、今日はお腹すいてないんだよね…
ロボット2	そんなに量を多くしなかったよ!
A君2	朝は食べられないって言ったじゃないか!
ロボット3	朝ご飯はちゃんと食べないと、脳が覚めないよ!
A君3	今日は、嫌いな物がたくさんあるんだもん!
ロボット4	例えば何が嫌いなの?
A君4	お米。野菜。
ロボット5	お米は脳の栄養になるんだ。勉強する前にはご飯を食べておいた方が良いよ。
A君5	野菜は?
ロボット6	野菜にもそれぞれ身体に良い栄養素が入っているんだよ！
A君6	でもさーーー。身体に良いって言われたって、ピンとこないんだよな?
ロボット7	でも、面白くない?例えばトマトと豚肉を一緒に摂ると疲れが取れるんだ!!
A君7	うーーーーん。。。
ロボット8	ナスやキュウリを食べると身体が涼しくなるんだ！
A君8	ほんと〜？
ロボット9	お米にはふりかけをかけて食べたり、工夫したらおいしくなるんじゃないか?
A君9	うーーーん。そうかー。工夫ね。ちょっと明日のご飯が楽しみになってきたな――。
ロボット10	明日はどんなご飯にしたい?
A君10	うーーーん。元気が出るごはん!
ロボット11	じゃあ、スタミナ丼にしよう！丼ぶりならご飯とおかずをいっぺんに食べられて、残さずに食べられるんじゃないな?
A君11	うん！それなら食べられそう!楽しみになってきたぞ!
