ロボット1	A君、もう食べないの？
A君1	うん、もういいや。
ロボット2	でも、まだ全部食べきっていないよ。
A君2	んー、あんまりおいしくないんだよね、それ。
ロボット3	おいしくなくても食べないと、栄養のバランスが悪いよ。
A君3	でもさ、食べたくないんだから仕方ないよ。
ロボット4	そう言わないで、もう少しだから食べようよ。
A君4	いらないって、おいしくないんだって言ってるだろ。
ロボット5	そんな…おいしくないって、わかるだけいいじゃないか…。
A君5	え？
ロボット6	僕はおいしいかどうかもわからないんだよ、わかるA君が羨ましいよ…。
A君6	なに、知りたいの？
ロボット7	もちろん知りたいよ…、そうすればA君にもっといいアドバイスができるのに…はあ…。
A君7	え、ちょっと。
ロボット8	あー悲しいな、僕に味はわからないからA君にわかってもらえない…。
A君8	そんな大げさな、ちょっとご飯を残したぐらいで。
ロボット9	悲しい、悲しいよ…僕は役立たずだ…。
A君9	ちょっと！　待てって！
ロボット10	ああ、本当にそうだよ、ご飯をちょっと食べてもらうことすらできないダメな僕なんだ…。
A君10	そんな、いちいち落ち込むなよ。
ロボット11	落ち込むよ、力不足だってことだからね…はあ…。
A君11	ええーっ。
ロボット12	悲しいな…、とっても悲しい…。
A君12	あーもうわかった、わかったよ。
ロボット13	なにがわかったの？
A君13	食べるよ！　食べれば悲しくないんだろ？
ロボット14	え、A君食べてくれるの？
A君14	食べたくないけど、食べてほしいんだろ？
ロボット15	それは食べてほしいよ。
A君15	じゃあ食べるよ、だからもう落ち込むのはナシな。
ロボット16	うん…わかった。
A君16	よし、食べるぞ！
