ロボット1	にんじん、食べないの？
A君1	欲しいの？
ロボット2	いいや、嫌いなのかなと思って。
A君2	うん、嫌いだよ
ロボット3	食べないの？
A君3	食べたくないな
ロボット4	そうか。でも、食べた方がいいんじゃない？
A君4	なんで？
ロボット5	もったいないから
A君5	でも、美味しくない
ロボット6	美味しくないんじゃなくて、君の口に合わないだけだね
A君6	そっか。僕の口ににんじんは合わない
ロボット7	君の口に合わないからって、捨ててしまうのはもったいないよ。
A君7	なんで？
ロボット8	食べるために、にんじんを一生懸命作ってくれた人がいて、それを一生懸命売っている人がいて、それを買うために一生懸命働いて、そして一生懸命調理した人がいるよ。その人たちの努力を、口に合わないからっていう理由で捨てるの？
A君8	それは悪いかもしれない
ロボット9	そうでしょ？最後に食べるとにんじんの味で食事が終わるから、途中で食べちゃった方がいいんじゃない？
A君9	でもにんじん食べたら、全部にんじんの味になっちゃう。
ロボット10	じゃあ、にんじん食べたら、ジュース飲んでみたら？
A君10	そうだね、やってみるよ
