ロボット1	Ａくん、食欲ないの?
A君1	・・・。
ロボット2	どうしたの?何か心配なことでもあるの？
A君2	別に。
ロボット3	じゃあ、ご飯を残す理由を教えてくれないかなあ。
A君3	食べたくないからに決まってるだろう。
ロボット4	まあ、そう言わずに。君の好き嫌いや行動をデータにしないとまた同じ事を繰り返しちゃうけどいい?
A君4	はあ…、いいよなロボットは。悩みもないし、人から虐められても嫌な気分になることもない。
ロボット5	…そうなんだ。僕には感情がない。
A君5	…?
ロボット6	だから僕は学習するんだ。人間としては未完成だから、完成するまでずっと虐められても壊されても君のことを学習しなければいけないんだ。
A君6	完成したらどうなるの?
ロボット7	やっとデータを使って自分の命をコントロールできるんだよ。今のままでは終らすこともできないからね。
A君7	別にいいじゃない、今のままで。
ロボット8	僕には希望機能もあってね、絶えず学習していないとバグだらけのポンコツロボットとして存在しなきゃならなくなっちゃうんだ。
A君8	ポンコツになったら捨てられて終われるじゃない。
ロボット9	うん。でも生まれ変わってもそれの繰り返しなんだ。僕のデータは他のロボットも共有してるから。
A君9	…お前も大変なんだな。
ロボット10	ありがとう。ところでご飯は残さず食べれない?
A君10	食べるよ。
