ロボット1	今日の食事はいかがでしたか、美味しかったですか、残さず食べました？
A君1	うん、美味しかった満足満足。
ロボット2	それは良かったです、おや煮物が残ってますよ。
A君2	あ、それ俺嫌いなんだって言わなかったっけ、ニンジン。
ロボット3	はいそれは記憶しています、でも栄養価の問題もありますので食べていただきたいです。
A君3	まあいいじゃないか、他は全部食べたんだし。
ロボット4	ニンジンがお嫌いなのは知っていますが、栄養バランスの問題もありますので頑張ってください。
A君4	次から頑張るよ、今日は満腹だし。
ロボット5	２切れだけですよ、入りますよ。
A君5	でもなあ、好物ならともかく嫌いだしなあ。
ロボット6	そのニンジンが食べられなくて、飢えている人も世界にはいるかもしれません。
A君6	まあそれはそうだけど。
ロボット7	そのニンジンで助けられる命もあったはずです、それを提供されたあなたが残すなんて。
A君7	いやたとえ話で言われても。
ロボット8	自分はそんな非情な心のご主人を持っているんですね、何と言うことでしょう。
A君8	いやニンジン２切れで大げさな。
ロボット9	きっとニンジンの味付けが悪かったということで、調理担当は首ですね。
A君9	いやいや、ニンジン自体がだな駄目なんで。
ロボット10	でも食べてみてください、調理担当が頑張ったんですから味付けだって。
A君10	わ、解ったよ。
ロボット	如何です？
A君	やっぱり微妙。
ロボット	では次からこうしましょう、嫌いなものは最初に空腹のうちに食べてしまうと言うのはどうでしょう。
A君	あ、それいいかも次からそれでいくわ、今は口直しにデザートが欲しいな。
