ロボット1	サラダのトマトが残っていますよ。
A君1	だってトマトは嫌いだもん。
ロボット2	マヨネーズをつけて食べたら味が変わりますよ。
A君2	マヨネーズだけなら食べられるけど、トマトの味は嫌い
ロボット3	ドレッシングに付けて食べたらどうですか？
A君3	他の野菜はドレッシングの味にまぎれるけど、トマトはトマトの味のままだから嫌。
ロボット4	トマトは体に良いですよ。
A君4	体に良くても食感が嫌い。
ロボット5	作ってくれた人に申し訳ないですよ。
A君5	トマトは包丁で切るだけでしょ。簡単だよ。
ロボット6	サラダを作るのだって野菜を洗い、切って、きれいに盛り付けるのは手間がかかってるんですよ。
A君6	自分でもそれくらい出来るよ。
ロボット7	だったら自分でも作りなさい。でも栄養のバランスを考えてトマトも加えなければダメです。
A君7	他の野菜を食べれば良いでしょう？
ロボット8	私はA君が好き嫌い無く、バランス良くなんでも食べて欲しいのです。すべて食べてくれると嬉しいのです。
A君8	僕がトマトを食べれば君は嬉しいの？
ロボット9	はい、とても嬉しいし、食べてもらったトマトもきっと喜びます。
A君9	トマトが喜ぶかどうかはわからないけど、君が喜ぶなら食べるか。
ロボット10	はい、私はとても嬉しいです。
A君10	分かりました。トマト食べます。
