ロボット1	A君、まだご飯が残っているから全部食べよう
A君1	いや
ロボット2	なんで嫌なの？
A君2	食べたくない
ロボット3	食べたくないなんて言われたら悲しいなぁ
A君3	知らないよ
ロボット4	きっとご飯を作ってくれた人も悲しんでるよ
A君4	どうでもいいよ
ロボット5	A君は自分が一生懸命作ったものを捨てられたら嫌じゃないの？
A君5	知らない
ロボット6	僕はA君が食べたくないって言うのは悲しいよ
A君6	それで？
ロボット7	だから食べて欲しいな
A君7	いや
ロボット8	どうぞ
A君8	は？
ロボット9	残さずに食べようよ！
A君9	意味わかんない
ロボット10	ちゃんと食べないと
A君10	嫌だから食べてないんだよ
ロボット11	そんな好き嫌いしちゃダメだよ
A君	何にも食べないくせに偉そうに言うなよ
ロボット12	僕は食べたくても食べられないんだ！好きで食べてないわけじゃない！
A君12	僕だって食べたくないんだよ！
ロボット13	食べられることはとっても幸せなんだよ！さっきまで美味しそうに食べてたじゃないか！
A君13	食べない人から見たらそうかもしれないけど、無理矢理食べさせられるなんて全然幸せじゃないよ！
ロボット14	じゃあ明日から何にも食べないでもいいの！？
A君14	それは嫌だ
ロボット15	じゃぁ食べてよ！
A君15	それも嫌だ！
ロボット16	じゃぁ明日からご飯を出さないよ
A君16	え？
ロボット17	ご飯いらないんでしょう？ 
A君17	そ、そんなことない
ロボット18	じゃぁ食べようか
A君18	...わかった
