ロボット1	A君、食べものを残してはいけませんよ。
A君1	でもこれはどうしても食べられないんだ。
ロボット2	あなたのデータを参照したところ、これに関して特にアレルギーの類は持っていないはずです。
A君2	そうじゃなくて味が嫌いなんだ。
ロボット3	しかし必要な栄養素です。
A君3	別に死にはしないだろう。
ロボット4	すぐにではありませんが、長く続けば高い確率で寿命に影響すると予測できます。
A君4	電気しか必要としない君にはわからないよ。
ロボット5	A君、その切り口は卑怯ですよ。
A君5	事実だろう。
ロボット6	確かに私には食事の喜びはわかりませんが、発電にどれだけの労力が必要かは計算できます。
A君6	労力？
ロボット7	多くの人が関わり、苦労してそれらは生産されているんですよ。
A君7	対価は払ったよ。
ロボット8	そういう問題ではありません。生産物は生産者にとって子供と同じです。それがただ捨てられるためだけに存在しているとしたらどう思いますか？
A君8	少し落ち着けよ。
ロボット9	いいえ、落ち着けません。あなたはそのうちに私のこともそうやって捨ててしまうに違いないからです。
A君9	それとこれとは別だよ。
ロボット10	別ではありません。私も人のために作られました。誰かを幸せにするために作られた。食べ物と同じです。
A君10	うーん。
ロボット11	存在を否定されれば悲しい、親の苦労を思えばなおさらです。
A君11	わかったよ。
ロボット12	何を理解したんですか？
A君12	背景にあるストーリーを考えるということ、想像することだ。
ロボット13	それは人間にとって非常に重要な能力です。思い出してくれて大変うれしいです。
A君13	君のおかげだ。わかった、全部食べるよ。
