ロボット1	Ａ君！今日の夕飯に出てたピーマン、また食べてないじゃない！
A君1	だって…ピーマンって苦くて美味しくないんだもん。
ロボット2	そんな子どもみたいなこと言ってないで、ホラさっさと食べる！
A君2	えー嫌だ。ピーマンだけは食べられない。他は頑張るからピーマンだけは見逃してよ、ね、いいでしょ。
ロボット3	君の生活習慣を改善するために僕は派遣されてきたのに、君の野菜嫌いは全く改善しない。
A君3	全く…ってほどじゃないでしょう。この前はちゃんと人参を食べたじゃない。
ロボット4	僕たちロボットはシビアな世界で生きているんだ。
A君4	どうしたの、いきなり。
ロボット5	君の野菜嫌いをなおして生活習慣を改善させることができないかぎり、僕は君との相性が不適合とみなされ、３０時間以内に研究所に飛ばされることになる。
A君5	えええっ！
ロボット6	このことは君には黙っているつもりだった。でも、ピーマンごときで君と永遠に引き裂かれることになると思うと、悲しくて胸が張り裂けそうで、どうしても黙っていることができなかったんだよ。
A君6	僕は…君と離れたくない！
ロボット7	僕だって、ずっとずっと君と一緒にいたいよ。
A君7	じゃあ、僕はどうすればいい？
ロボット8	…ピーマンを食べるんだ。僕がそれをレポートに送れば、僕のミッションは成功となり、このまま君のもとにいられる。
A君8	ピーマンを食べればいいんだね？
ロボット9	ああ、そうさ。
A君9	分かった。辛いけど君の為だ。思い切って食べてみるよ！モグモグモグ…
ロボット10	ありがとう、Ａ君。
A君10	あれ、意外と美味しかったぞ。こちらこそありがとう！
