ロボット1	Ａ君、今日も食べ残しがあるじゃないか。
A君1	食べ切れなかったんだからしょうがないじゃないか。
ロボット2	ご飯はちゃんと残さず食べなきゃ駄目だよ。
A君2	何でだい？
ロボット3	何でって、作ってくれた人に失礼だろ？
A君3	それはわかるけど、どうしても食べ切れなかったらどうするの？
ロボット4	じゃあ、何で食べ切れなかったんだい？
A君4	それは、おなかが空いてなかったからだよ。
ロボット5	それはおかしいな。今は夕方の７時で、昼食は１２時だったからおなかペコペコじゃないのかい？
A君5	それもそうだね…。
ロボット6	Ａ君さっきお菓子食べてたよね。
A君6	うん。
ロボット7	それでご飯残しちゃったんじゃないのかい？
A君7	それはあるかも…。
ロボット8	お菓子を食べるなとは言わないけど、ご飯を残すのは良くないんじゃないのかな？
A君8	うん、そうだね。
ロボット9	じゃあ、明日からちゃんとご飯を残さず食べると約束してくれるかい？
A君9	うん、約束する。
ロボット10	わかってくれたんだね！ありがとうＡ君！
A君10	ううん、僕の方こそありがとうだよ！これからもよろしくね！
