ロボット1	先ほども言ったように、朝食は残さず食べて下さいね。
A君1	朝から、こんなに食べられないよ。
ロボット2	どうしても、残さずに食べてもらえませんか。
A君2	うん、そうだね。
ロボット3	私は悲しいです。
A君3	いきなり、どうしたの。
ロボット4	世の中には、食べたくても食べられない人たちがいるのですよ。
A君4	ああ、途上国の人たちだね。
ロボット5	彼らの現状を少しでも知っているのなら、A君は食事を残すことなんて出来ないはずですよね。
A君5	うーん、そう言われても、遠い国の人たちの事だから、いまいちピンと来ないんだよね。
ロボット6	A君の近くにもいますよ。
A君6	えっ、誰？
ロボット7	私です。
A君7	君は人じゃないでしょ。
ロボット8	そんな言い方をしなくても、いいじゃないですか。
A君8	ごめんごめん、悪かったよ。
ロボット9	常日頃から、A君が食事をとるのを見ていて、食品の味、香り、食感について、思いを巡らせていたのですよ。
A君9	そっかー。
ロボット10	出来ることなら、私も食事をしてみたかったのです。
A君10	そうだろうね。
ロボット	食事って、やはり、おいしいものですか。
A君	おいしいよ。
ロボット	でしたら、もう一口だけでも食べてもらえませんか。
A君	分かったよ。全部食べるよ。
