ロボット1	まだご飯が残っています、A君食べましょう。
A君1	嫌だ、もういらない。
ロボット2	ご飯を作った方に失礼ですよ！
A君2	もうお腹いっぱいなんだ。
ロボット3	本当にそうですか？ピーマンの肉詰めだけ綺麗に手をつけてませんけど。
A君3	だって美味しく無いんだもん。
ロボット4	いいえ、美味しいですよ。
A君4	ウソだ。ピーマンが苦いもん。
ロボット5	ちゃんとピーマンについている中の白いものを取りましたので大丈夫です。
A君5	ピーマンが苦いのはあの白いやつのせいなの？でも、信じない苦いに決まってる。
ロボット6	そうです。さらに苦みを軽減させるためまんべんなく熱湯をピーマンにかけて下ごしらえしました。
A君6	そんな方法あるんだね。
ロボット7	あと、お肉の肉汁も苦みを軽減してくれるので美味しくなっているのは間違いないですよ。
A君7	食べれもしないのになんでわかるのさ。
ロボット8	私は食べることができませんが、先ほど述べたように作った方の手間暇を知っているので美味しいのがわかるんですよ。
A君8	手間がかかっていても美味しいかはわからないんじゃ無い？
ロボット9	人の心のこもった料理を信じないなんて。いい加減に食べないとこんなに美味しい手間暇かかったピーマンの肉詰めは次から作ってもらえなくなりますよ。
A君9	わかったよ、本当に美味しいか食べて確かめるよ。
ロボット10	わかって頂けたなら食べてください。
A君10	本当だ苦みが消えて美味しね。
