ロボット1	Ａ君、もう夜の10時だよ。　早く寝ねないと。
A君1	眠たくない。
ロボット2	ねぇねぇ、もう10時だよ？　早く寝ないと明日寝坊しちゃうよ？
A君2	でも眠たくないんだ。　だからまだ起きてる。
ロボット3	う〜ん。　でも寝坊しちゃうとまたお母さんに怒られちゃうよ？
A君3	大丈夫、ちゃんと起きれるから。
ロボット4	でもちゃんと早く寝る癖をつけないと。　
A君4	大丈夫大丈夫。僕は早起き得意なんだよ。すっごく得意。　遅刻とかもしたことないんだ。
ロボット5	でも、この前も起きるの遅くてお母さんに怒られてたし。
A君5	ちゃんと起きれるから大丈夫っていってるだろ。　うるさいなぁもう。
ロボット6	だって早く寝なさいってお母さんにいつも言われてるし。
A君6	少し黙って。　僕は今ゲームがしたいんだ。
ロボット7	ゲームしてて明日寝坊したらダメでしょ！
A君7	うるさいなぁ。ロボットのくせに。
ロボット8	ごめんね。少し黙るね。
A君8	うん、僕はゲームがしたいからね。
ロボット9	そういえば、明日の朝B君が迎えにきてくれるって言ってなかった？
A君9	あれ？　そうだっけ。
ロボット10	早く寝ないと！
A君10	よし、寝よう。
