ロボット1	23時になりました、最近夜更かししすぎですから今日は寝ましょう。
A君1	まだ見たいテレビがあるから起きてる。
ロボット2	朝寝坊してしまいますよ。
A君2	君が起こしてくれればいいじゃない。
ロボット3	今朝も30分かけて起こす羽目になりましたよ。
A君3	全然気付かなかった、起こし方が悪いんじゃないの。
ロボット4	そんな、私の努力が気付いてもらえてなかったなんて。
A君4	夜更かしとは関係ないと思う。
ロボット5	朝起きられないことが私のせいだなんて酷いです。
A君5	だってそうだと思うから。
ロボット6	冗談じゃありませんよ。A君を起こすのがどんなに大変な仕事か分かってくださいよ。
A君6	知らないよ。
ロボット7	睡眠時間が十分な日は、一人で起きられるじゃないですか。
A君7	それはそうだけど。
ロボット8	早寝をすると肌がきれいになるそうです。
A君8	僕は男だからあんまり関係ないよ。
ロボット9	肌の綺麗な男性はイケメン度が3割増すってテレビで言ってましたよ。
A君9	そ、そうなの？
ロボット10	確かに早起きした日のA君はすっごくかっこいいですね〜。私が思うくらいですから女性はもっと思いますよ。
A君10	寝る、今すぐ寝る！
