ロボット1	もう寝る時間なので寝ましょう
A君1	まだ寝たくない
ロボット2	どうして？眠たくないの？
A君2	まだ眠くないから寝たいない。
ロボット3	眠たくなくても、もう遅い時間なので寝ないといけません。
A君3	眠たくないのに寝られない。
ロボット4	目を瞑って横になるとそのうち眠たくなります。
A君4	寝たくない！
ロボット5	早く寝ないと明日の朝起きられません。
A君5	明日の朝は起きたくなったら起きればいい。
ロボット6	ダメです！ちゃんと決まった時間に寝て明日の朝も決まった時間に起きなくてはいけません！
A君6	なんで決まった時間に起きなくてはいけないの！
ロボット7	自分のしたいことばかりしていてはいけません！
A君7	寝たくない！
ロボット8	そんなことばかりしていてはちゃんとした大人になれません！寝なさい！
A君8	寝なくても大人になれる！
ロボット9	大人にはなれますが、立派な大人にはなれません。寝なさい。
A君9	じゃあ眠たくなるようにしてよ。
ロボット10	分かってくれて嬉しいです。では一緒に横になってお話ししながら寝ましょう。
A君10	分かった。やってみる。
