ロボット1	Ａ君、そろそろ寝る時間だよ。
A君1	うーん、そうだね。
ロボット2	まだ何かやることがあるの？
A君2	少しね
ロボット3	急ぎでなければ明日にしたら？
A君3	でも今いいところだから
ロボット4	いいところ？
A君4	そう。あとちょっとでボスを倒せる
ロボット5	ゲームなら明日でもできるじゃないか
A君5	もーうるさいなあ、やってみたらわかるよ！出来ないだろうけどね
ロボット6	Ａ君ひどいなあ。機械の素晴らしさは僕が1番よくわかっているよ。
A君6	素晴らしさ？
ロボット7	そう。便利で楽しい。
A君7	そうだよ、だからゲームするんだ。
ロボット8	でも、機械の危険性も知ってる
A君8	危険性って何？
ロボット9	依存しすぎたり夢中になりすぎると人を大切にしなくなる。
A君9	どうゆうこと？
ロボット10	周りが見えなくなるだろう？
A君10	そうかな
ロボット11	Ａ君よくゲームをしながら話を聞かず怒られているだろ？
A君11	母さんや彼女に？
ロボット12	そう。夢中になりすぎると大切なことを見失うよ。
A君12	まあねー
ロボット13	ほら、またそうやって！
A君13	はいはい、ごめんごめん
ロボット14	僕はA君自身を大切にして欲しいんだ。
A君14	えっ？
ロボット15	僕たち機械は壊れても治せるし変わりはいくらでもある。でも人間はそうはいかないだろ。
A君15	うん
ロボット16	だから僕はA君が心配なんだ。ちゃんと身体を休めないと。
A君16	そうか。ありがとう、寝るよ
ロボット17	ありがとう、また明日起こすね
A君17	うん、頼むよ
ロボット18	A君おやすみなさい
A君18	おやすみ
