ロボット1	就寝時間が過ぎています。
A君1	うん。
ロボット2	もう寝る時間です。
A君2	わかってるよ。
ロボット3	まだ寝ないのですか。
A君3	もう少しゲームしてから。
ロボット4	朝起きるのがつらくなりますよ。
A君4	大丈夫だよ。
ロボット5	毎朝なかなか起きれないではないですか。
A君5	大丈夫だってば。今いいとこなんだから。
ロボット6	大丈夫ではありません。
A君6	うるさいなあ。・・・ああっ！やられた！
ロボット7	夜更かしは身体にもよくありません。
A君7	うるさい！お前に関係ないだろう！
ロボット8	・・・怒られました・・・怒られました・・・・
A君8	お前のせいで気が散ってやられたじゃないか！
ロボット9	私は心配しているのですが、怒られました・・・
A君9	いや、怒ってないよ。・・・怒鳴ってごめん。
ロボット10	あなたを心配したのに怒られました・・・
A君10	わるかったよ。そんなに落ち込むなよ。
ロボット11	夜更かしは身体に悪いし、朝もいつも起きれないのに・・・
A君10	わかったよ。ごめんな。
ロボット12	ゲームは止めて、もう寝てください。
A君12	あと1回やったらね。
ロボット13	まだ寝ないのですか・・・心配しているのに・・・
A君13	あーもう、わかったよ。今日はもうやめて寝るよ。
ロボット14	本当に寝てくれますか？もう怒りませんか？
A君14	寝るよ。もう怒らないし、安心してよ。
ロボット15	はい！A君、大好きです！おやすみなさい！
A君15	おやすみ。また明日ね。
