ロボット1	A君そろそろ寝る時間ですよ。
A君1	嫌だまだゲームがしたい。
ロボット2	ダメです。もうそろそろ寝る準備をして下さい。
A君2	いやだいやだ
ロボット3	A君夜更かしは体に良くありません。
A君3	寝なくたって平気だよ。
ロボット4	寝ないと体を壊してしまいますよ。
A君4	たとえば
ロボット5	寝不足で、頭痛がおきたり、フラフラしたり、体に悪い事がおこらす。
A君5	本当
ロボット6	そうです私達と違い人間には何より睡眠が一番なんですよ。
A君6	そうなんだ
ロボット7	わかってもらえましたか、睡眠をとる事で、元気で長生き出来るのですよ。
A君7	睡眠は大切なんだね。
ロボット8	そうです、それにもうひとつ恐ろしい事があります。
A君8	なぁに
ロボット9	睡眠をとらないと目の下が真っ黒くなりますよ。
A君9	やだなそんな冗談いって
ロボット10	冗談じゃないですよ。眠らないと「クマ」と言って真っ黒くなるのは本当ですよ。しかし安心して下さい。しっかり眠ればそんな事にはなりません。
A君10	ふーう安心した、じゃあ僕はロボットのゆうとうりに寝る事にするよ。
ロボット	そうですね、A君おやすみなさい。
