ロボット1	A君そろそろ寝たほうがいいよ。
A君1	まだまだ。ぼくはこのテレビが終わるまで寝ないよ。
ロボット2	さあ、テレビ終わったよ。寝ようね。
A君2	じゃあ歯磨きしてくるね〜。
ロボット3	歯磨きが終わったらいつも寝るんだもんね。よしよし。今日も順調に寝られそうでうれしい。
A君3	あっそのまえに明日、着る洋服を準備するよ。
ロボット4	そっか。歯磨きと明日の洋服を準備するのはいつもやっていることだからね。
A君4	あっ大変。ぼく宿題やるの忘れてた！
ロボット5	はあ？宿題はいつもテレビを見る前にやっておくはずじゃない。
A君5	すみません。僕宿題のこと忘れてた。
ロボット6	だめじゃない！寝る時間のことを考えて宿題は早い時間に終わらせないと。
A君6	今日はたまたま宿題があるのを忘れていただけだよ。
ロボット7	Ａ君これからは就寝前にテレビを見ているって事は宿題は終わっていると僕は認識するからね。
A君7	明日からはそうするよ。テレビ見る前に宿題があったか確認します。
ロボット8	わかってくれてありがとう。じゃ。宿題やって洋服揃えて歯磨きだよ。22時には寝ることにしますよ。
A君8	うん。わかった。すぐやる。
ロボット9	Ａ君どこまで終わった？
A君9	えっ。もう終わったよ。21時55分だからもう寝なきゃ。
ロボット10	Ａ君時間を決めれば出来るじゃない。明日も22時には寝ようね。
A君10	了解しました。22時に寝られるようにします。
