ロボット1	もうそろそろ眠る時間だよ。
A君1	まだ眠たくないよ。
ロボット2	12時を過ぎているよ。明日起きられなくなるよ。
A君2	まだ大丈夫。
ロボット3	そんなことを言って、いつも寝坊しているじゃないか。
A君3	いつもじゃないよ。一昨日はちゃんと起きたよ。
ロボット4	君は自分の生活を改善したくて、僕を呼んだんじゃないの？
A君4	そうだけど…。
ロボット5	口ごたえばかりで全然努力しようとしないじゃないか！
A君5	うるさいな。ロボットの癖に生意気だ！
ロボット6	ひどいよ！そんな傲慢な態度を取るんだね。そんな人間だとは思わなかった。君にはがっかりだ。
A君6	少し腹が立っただけだよ。
ロボット7	僕は君の生活を良くしたいだけなのに、こんなにひどい言われ方をしなくてはならないの？
A君7	ごめん、言い過ぎたよ。
ロボット8	僕が何のためにここにいるのかちゃんと考えて。君自身が決めて始めたことだよ。
A君8	それは良く分かってるよ。
ロボット9	ちゃんと眠ったら、明日はすっきりと目覚められるよ。
A君9	分かったよ。今日はもう寝るよ。
ロボット10	分かってくれたら嬉しいよ。良い夢を見てね。おやすみなさい。
A君10	おやすみなさい。
