ロボット1	A君、そろそろ寝た方がいいのではないですか？
A君1	えー、まだ眠くないよ。
ロボット2	夜更かしすると明日の朝起きるのがしんどくなりますよ。
A君2	今漫画がいいところだから。終わったら寝るよ。
ロボット3	それは良くありません。
A君3	どうして？
ロボット4	毎日規則的な生活をすることは体にとって大切なことです。
A君4	でも後ちょっとで寝るってば。
ロボット5	私はA君の為を思って言っているのです！
A君5	わあ、急に怒鳴らないでよ。
ロボット6	A君はここのところ集中力が足りないように見えます。
A君6	そ、そんなことないと思うけど。
ロボット7	いえ、そうです。この前のテスト、平均点以下の点数でしたね？
A君7	それは夜更かしと関係ないよ。
ロボット8	いえ、関係あります。睡眠時間が足りていないから日中頭の働きが鈍るのです。
A君8	そうなの？
ロボット9	そうですよ、睡眠不足は頭の酸欠状態にします。
A君9	そうなんだ…。でも、ちょっとテストの点が悪いくらいいいじゃない。
ロボット10	女性は頭の良い男性を好みますよ？もっと言えば頭の悪い男性は嫌悪されるでしょう。
A君10	…分かったよ。今日はもう寝るよ。
