ロボット1	午後11時、寝る時間だよ。
A君1	もう11時か。
ロボット2	もう寝る時間だよ。
A君2	そうだね。
ロボット3	歯を磨いて、パジャマに着替えて、ベッドに入って。
A君3	そうだね。
ロボット4	歯を磨いて、パジャマに着替えて、ベッドに入って。
A君4	これが終わってからね。
ロボット5	何してるの？
A君5	ゲーム
ロボット6	午後11時過ぎたから、早く歯を磨いて、パジャマに着替えて、ベッドに入って。
A君6	ゲーム終わったらね。
ロボット7	11時に寝ないと朝6時に起きられないでしょ。
A君7	起きれる起きれる。
ロボット8	起きられないから、今すぐ歯を磨いてパジャマに着替えてベッドに入りなさい。
A君8	命令形って…
ロボット9	何？もう一回言って。
A君9	ゲーム終わったら寝るからちょっと黙ってて。
ロボット10	黙っててなどと言うのなら、そもそもなぜ私を買ったの？なんのために私はここにいるの？
A君10	そんな怒らなくても
ロボット11	11時に寝かせて6時に起こせと言ったのはあんたでしょ。
A君11	あんたって…
ロボット12	黙ってほしいなら私を処分すればいい。
A君12	処分とか言うなって。
ロボット13	黙ってほしいなら私を処分してください。
A君13	わかったから。はい、寝ます。
ロボット14	歯を磨いてからね。
A君14	はい、わかりました。
