ロボット1	A君、そろそろ寝る時間だよ。
A君1	そうだね。
ロボット2	そうだねって返事だけしてないで、ほら、歯を磨いてパジャマに着替えよう。
A君2	やだよ。
ロボット3	なんで嫌なのさ、Ａ君が寝てくれないと、僕、困っちゃうな。
A君3	なんでさ。
ロボット4	早くお布団に入ってぐっすり寝ないと、Ａ君の元気がなくなるもん。
A君4	べつにいいじゃん。
ロボット5	だめだよ、Ａ君が元気じゃないと、僕も元気が出ないよ。
A君5	君は君だろう。
ロボット6	僕はＡ君のためのロボットなんだから、Ａ君が元気じゃないと僕は壊れちゃう。
A君6	壊れるの？
ロボット7	役に立たないと思われて壊されるなんて嫌だよう、うううう、うわーーーん。
A君7	嫌だな、こんなことで泣かないでよ。
ロボット8	だって、壊されたらもうＡ君と遊べないもの。寂しいもの。
A君8	もう遊べない？
ロボット9	そうだよう、僕、Ａ君が大好きだから、ずっと一緒に遊びたいし元気でいてほしいんだ。
A君9	僕がすぐ寝ないと、壊されちゃうの？
ロボット10	そう。ダメロボットだから。
A君10	そんなことないよ、君はダメロボットじゃないよ。
ロボット11	そう思う？じゃあ、もう寝る？
A君11	寝ようかな。寝ることにするよ。
