ロボット1	もう１２時過ぎましたよ。寝る時間です。
A君1	ちょっとネットで調べることがあるんだけど・・・
ロボット2	寝る前にパソコンをすると寝つきが悪くなりますよ。
A君2	今日中に調べたいんだ。
ロボット3	もう少し早い時間にやるべきでしたね。
A君3	そうなんだけどすかっり忘れてて、明日は休みだし。
ロボット4	明日じゃだめですか？
A君4	気になって眠れないよ。
ロボット5	やることが多いかもしれませんが、１２時までには寝るように生活リズムを変えていくようにしようと約束しましたよね。
A君5	そうだけど、この頃守ってきたじゃないか。
ロボット6	毎日継続することが大切です。
A君6	今日は特別、ちょっと調べるだけだからさー
ロボット7	休み前だからって夜更かしをしたら、睡眠のリズムが崩れてしまい日中眠くなったりしますよ。
A君7	明日は休みだからいいじゃん。
ロボット8	そういう問題ではありません。
A君8	・・・・
ロボット9	そんな弱い意志では生活改善できませんよ！
A君9	・・・分かりましたよ。
ロボット10	分かっていただいてありがとうございます！
A君10	おやすみ。
