ロボット1	Aくん、そろそろ寝る時間ですよ。
A君1	まだ寝なーい！
ロボット2	でももう１０時だから寝ないと。
A君2	テレビ見たいから終わった寝る。
ロボット3	そのテレビ全部見ると１２時になっちゃう。明日起きるときつらいよ。
A君3	でも見たいし眠くもないんだけど！
ロボット4	うーん、テレビは録画して明日見ればいいじゃん。
A君4	録画はもうしてあるけど眠くないし今見たい気分なんだよね。
ロボット5	気持ちはわかるけど、A君が夜更かしするとママから怒られるのが僕なんだよね。
A君5	ロボットのお前に僕の気持ちがわかるもんか！プログラムで動いてるだけのくせに！
ロボット6	言いたいことはわかる。でも君にそういわれて僕はかなしい・・・。今、傷ついた。
A君6	ごめん・・・
ロボット7	いいんだ、慣れてる。・・・まだ眠くない？
A君7	眠くない・・・。
ロボット8	今眠くなくてもベッドに入って目をつむっていたら眠くなるかもよ。
A君8	そうかなぁ。
ロボット9	テレビ画面を見ていると余計目がさえちゃうんだよ。
A君9	ふーん・・・。
ロボット10	いい夢が見れるように、僕が踊ろうか？
A君10	踊らなくていいよ！一応寝てみる。おやすみ。
