ロボット1	そろそろ就寝の時間です
A君1	全然眠くならないんだよね
ロボット2	睡眠は健康管理の為にも大事な事です
A君2	眠くならないのに寝るのって無理でしょ
ロボット3	何か眠れそうな音楽でも流しましょうか？
A君3	音楽だけで寝れそうにないんだけど
ロボット4	では眠れそうな飲み物でも作りましょうか？
A君4	あまり欲しくないな
ロボット5	この状態が続くようであれば不眠症の疑いもあるので病院の手配をする事になりますが
A君5	病院まで行くような事じゃないと思うけど
ロボット6	睡眠サイクルが変化すると健康に影響しますので仕方ありません
A君6	眠くなったら寝る、じゃ駄目なの？
ロボット7	生活管理をするのが私の仕事なので寝て貰わないと困るのです
A君7	ベッドに横になって目を閉じてるだけで寝てると言える？
ロボット8	それだけでも体の負担は減りますから健康には良いと思います
A君8	でもこうやって君と話してると余計に眠れそうにないんだよね
ロボット9	分かりました、黙ってますから寝てくれますか？
A君9	とりあえずベッドに横になってるから君も寝たら？
ロボット10	私はロボットなので寝なくても問題ありません
A君10	いいな　代わって欲しいわ
