ロボット1	明日は学校だから、もう寝ないとだめだよ。
A君1	僕、まだ全然眠くないよ。
ロボット2	いつもそんな言い訳をして、このまえも寝坊して遅刻したじゃないか。
A君2	だって、ゲームをしたいんだもの。
ロボット3	寝不足だと、授業中も眠くて勉強が分からなくなるよ。
A君3	大丈夫、分からなければ友達に聞くから。
ロボット4	自分で勉強して理解しないと、受験に落ちていい学校に入れないよ。
A君4	塾に行ってるから、大丈夫だよ。
ロボット5	いつも夜遅くまで起きていると、生活のリズムが崩れて病気になっちゃうよ。
A君5	朝、起きてるから大丈夫だよ。
ロボット6	夜更かしを続けていると、だんだん眠れなくなっちゃうんだ。
A君6	いつも眠くなったら、寝ているよ。
ロボット7	身体もだるくて動けなくなって、学校に行けなくなっちゃうよ。
A君7	いつも行っているから、大丈夫だよ。
ロボット8	学校の友達と会えなくなってもいいの。
A君8	学校に行けなくても、塾で会えるよ。
ロボット9	寝不足だと風邪ばかり引いて、せきが止まらなくなるよ。
A君9	だから、僕はいつもせきをしているんだ。
ロボット10	せきが止まらなくなったら、苦しくてずっと寝たままでどこにも行けなくなるよ。
A君10	ずっと外に出られないのはいやだ。わかった、じゃ、もう寝るね。
