ロボット1	部屋がだいぶ汚れてきたから、掃除した方がいいですよ。
A君1	面倒くさいから嫌だよ。
ロボット2	こんなにホコリが積もっている部屋で寝るのは健康にも良くないですよ。
A君2	僕はアレルギーもないし、大丈夫だよ。
ロボット3	でも放っておくとダニや害虫も増えますよ。
A君3	気になるんだったら君が掃除してよ。
ロボット4	私は掃除ロボットではなく、生活指導ロボットですから出来ません！
A君4	役立たずなロボットだなぁ。
ロボット5	役立たずなんて悲しいことを言わないで下さい。
A君5	ごめん、悪かったよ。
ロボット6	こんなに散らかっていてはものを探すのも大変でしょう。
A君6	確かに、どこに何があるかわからないね。
ロボット7	まずは床に散らばっているゴミを捨てるところから始めませんか？
A君7	わかったよ、やるよ。
ロボット8	ほら、だいぶきれいになりましたよ。
A君8	きれいな部屋になったらガールフレンドを呼べるかな？
ロボット9	彼女もきっと喜ぶでしょうね。
A君9	じゃあ頑張って片づけるとするか。
ロボット10	やる気になってくれて嬉しいです！
A君10	やる気を出させてくれてありがとうね。
