ロボット1	そろそろ部屋の掃除をしましょう。
A君1	まだ汚くないよ。
ロボット2	ではとりあえずゴミだけでも集めてみてはどうですか。
A君2	あとでやるよ。
ロボット3	明日はゴミの収集日ですから今日集めないと来週まで持ち越しますよ。
A君3	うるさいな、明日の朝までにやるから！
ロボット4	今日の午後から雨の予報となっていますし明日はA君は朝７時３０分に出勤予定ですから今からやったほうがいいですよ。
A君4	じゃあ朝早く起きるから！
ロボット5	先週もそう言いましたね！でも結局できませんでした。予定を先延ばしにするのは悪いくせです！！
A君5	掃除をしなくても病気にはならないよ。
ロボット6	今から取りかかれば３０分で終わり、すっきりした気分でランチができますよ。
A君6	わかったよ。。
ロボット7	ではさっそく窓を開けて空気の入れ換えから始めましょう。
A君7	あ〜、気持ちいいな。
ロボット8	そうですね。部屋がきれいだと気持ちがいいものです。
A君8	これからは汚くなる前に掃除するように気をつけるけど、つい怠けちゃいそうだな。
ロボット9	そのような事が無いように私がお知らせいたします。その気持ちになったことが素晴らしいです。
A君9	キミのおかげかな。
ロボット10	前向きな考え方は仕事やプライベートにいい結果をもたらしてくれるでしょう。
A君10	そうだね。ありがとう。
