ロボット1	そろそろ掃除をしてみませんか、ご主人様。
A君1	まだそんなに散らかっていないからいいよ。
ロボット2	今日は天気もいいし、すっきりと掃除をして片付けばきっと爽やかな気分になれますよ、ご主人様。
A君2	掃除しなくても僕はいつも爽やかな気分だよ。
ロボット3	ほら、この棚にもホコリがいっぱいですし、裸足で床も歩くと足の裏が黒くなりますよ。
A君3	気のせいだろう？
ロボット4	ねぇご主人様、毎日掃除をしてきれいにしておくと、強運が舞い込んでくるといいますよ。
A君4	そういうの信じていないんだ。
ロボット5	私はきれいな居住空間が大好きです、ご主人様。
A君5	ふ〜ん。
ロボット6	私はきれい好きなんです、ご主人様。
A君6	僕はそうでもないよ。
ロボット7	私はきれい好きだと言っているんですよ、ご主人様。
A君7	じゃぁそうだ、君が僕の代わり掃除してくれればいいよね。
ロボット8	何を言っているんですか。掃除はご主人様のお役目ですよ。
A君8	明日するよ、約束する。
ロボット9	私は今日、きれいなところにいたいんです、ご主人様。
A君9	君も譲らないねぇ。
ロボット10	私がこの家にやってきたときの約束は守っていただかないと、ご主人様。
A君10	掃除なんか約束したっけ？
ロボット11	私を喜ばせることがご主人様の使命です、取扱説明書にもそのように書いてありますよね、ご主人様。
A君11	え〜っ、そんなことまで書いてあったっけ？
ロボット12	ついこの間も私がいて嬉しい、いなくなると寂しいとおっしゃっていましたよね、お忘れですかご主人様。
A君12	ああ、いやぁ・・・はい。
ロボット13	掃除をしてくだされば、私はとても嬉しくなって一緒にダンスをして差し上げますよ、ご主人様。
A君13	おもしろそうだね。
ロボット14	いかがですか、ご主人様。
A君14	よし、ささっと掃除するか。。
