ロボット1	ねえA君、ちょっと部屋が汚くないかな。
A君1	そうかな、気にならないけど。
ロボット2	そろそろ掃除した方がいいと思うんだ。
A君2	べつにまだ大丈夫だよ。
ロボット3	でも掃除しないと埃がたまるから健康に良くないし、散らかっているから動きにくいよ。
A君3	俺の部屋なんだし、勝手にさせてよ。
ロボット4	でも僕だっているじゃない。
A君4	でもここは俺の部屋だからね、ロボットのじゃないから。
ロボット5	それはそうだけど、僕だっていつもいるじゃない。
A君5	だから居てもロボットの部屋じゃないから、俺の勝手だって言ってるだろ。
ロボット6	A君、なんでそんなひどいことを言うの？
A君6	ひどいことじゃないよ、事実だよ。
ロボット7	なに言ってるんだよ、ひどいことだよ！
A君7	そんな急に感情的にならなくても…。
ロボット8	感情的にもなるよ、僕は怒った。
A君8	いちいち怒るようなことじゃないだろ。
ロボット9	怒ることだよ、A君は僕がいないといいと思っているんだろう！
A君9	そんなことは一言も言っていないだろ。
ロボット10	言っていなくても分かるんだよ！
A君10	むちゃくちゃなこと言うなよ…。
ロボット11	あー、腹が立って仕方がない。
A君11	そんな怒るようなことじゃないだろ、掃除くらいで。
ロボット12	あー、掃除くらいって言った、掃除くらいって言うならやればいいのにしないんだ。
A君12	もー突っかかるなよ。
ロボット13	突っかかるよ、A君のためを思って言ったのに、いない方がいいなんて言われたんだから。
A君13	そんなこと言っていないだろ。
ロボット14	言っているのも同じだよ、掃除してくれなきゃ。
A君14	えー、掃除しないとダメなのか…。
ロボット15	ダメだね。
A君15	あー分かったよ、めんどくさいんだけどなあ。
ロボット16	本当！？　本当に掃除してくれるの！？
A君16	まあ…分かったよ、するよ。
ロボット17	嬉しい！　僕は嬉しいよ、A君！
A君17	そうですか、はー仕方ないなあ。
