ロボット1	A君、そろそろ掃除をした方がいいんじゃない？
A君1	え？まだいいよ。
ロボット2	だって部屋がだいぶ散らかっているよ。
A君2	そんなことないよ。
ロボット3	だってほら、これ昨日つかってたハサミじゃない？
A君3	え？それまだ使うから。
ロボット4	こんな所に置いてたら危ないよ。
A君4	大丈夫だよ。大袈裟だなあ。
ロボット5	ほら、これなんて昨日A君が履いてた靴下じゃない？
A君5	え？あっ・・・・。
ロボット6	もう！汚いからコレも洗濯機に入れて、掃除しなよ。
A君6	え〜、後でするよ。
ロボット7	君はいつもそう言っててしないじゃないか！
A君7	そんなことないよ。ちゃんとやるよ。
ロボット8	もう、その手には引っ掛からないぞ！今すぐに掃除するんだ！
A君8	え〜！面倒臭いよ。
ロボット9	面倒臭いなんて言ってる場合じゃないよ。このままだとゴミ屋敷になっちゃうよ。
A君9	え〜、嫌だよ。
ロボット10	ほら、一緒に手伝うから掃除しようよ！
A君10	え〜、でも面倒臭い。
ロボット1１	そういえば、この間、何かが見つからないって言ってなかったっけ？
A君1１	え？ああ、そうだった。
ロボット1２	もしかしたら、ココを掃除すれば出てくるかもしれないよ。他の場所にはなかったんでしょ？
A君1２	うん、そうなんだよ。どこを探しても見つからないんだ。
ロボット1３	じゃあ、ココにあるかもしれないよ。一緒に探してみようよ。
A君1３	そうかな？あるかな？
ロボット1４	うん。きっとあるよ。さあ、掃除して綺麗にして見つけようよ！
A君1４	うん。そうだね。あるかもしれないね。掃除を始めよう。
