ロボット1	しばらく掃除していないので、今日は掃除しましょう。
A君1	うーん、今日はちょっと。
ロボット2	何か予定があるのですか？
A君2	というより、掃除は面倒くさい。
ロボット3	掃除しないと部屋が不潔になって健康にもよくないです。
A君3	未だそれほど汚くないし。
ロボット4	十分汚いです。
A君4	じゃあ君が掃除して。
ロボット5	僕は生活指導ロボットなので、A君が掃除しないと意味がないのです。
A君5	不便だなあ。ルンバやココロボなら掃除してくれるのに。
ロボット6	役割が違うんです。
A君6	ココロボとかにすれば良かったなあ。
ロボット7	ひどいことを言うんですね。
A君7	だって掃除してくれないから。
ロボット8	だから僕の役目は生活改善指導だから。
A君8	色々言われるのもうるさいし。ルンバにすれば良かった。
ロボット9	そうですか分かりました。
A君9	何してるの？
ロボット10	僕を売って、ルンバを買えば良いです。いつでも出ていけるように荷物をまとめます。
A君10	待って、さっきのは冗談だから。
ロボット11	いいえ、本心でないと、あんなこと言えないと思います。
A君11	違うって、ちょっとからかっただけ。
ロボット	じゃ僕がいてもいいんですか？
A君	もちろん歓迎してる。君にいてほしいです。
ロボット	良かった。うれしいです。
A君	うん。分かってもらえて僕も嬉しい。
ロボット	じゃ掃除を始めましょう。
A君	やっぱりそうなるのね。分かりました、やります。
