ロボット1	そろそろお部屋の掃除をしませんか？
A君1	そんなに散らかってないし、綺麗だよ。
ロボット2	 そうかもしれませんね。
A君2	後でまとめてやるからさ。
ロボット3	でも、今掃除をしておけば、後の手間は少なくて済みますよ。
A君3	後でやるって。
ロボット4	いつもそれじゃないですか！
A君4	後でっていったら、後でなんだよ。
ロボット5	毎回毎回、いい加減にしてください！
A君5	掃除するのは俺だけなんだから、俺の好きなようにさせてくれよ。
ロボット6	でも、この前は綺麗な部屋は気持ちが良いって言ってたじゃないですか。
A君6	だから、後でちゃんとやるって。
ロボット7	私は嬉しかったんですよ、汚い部屋でも平然としていたあなたから「気持ちが良い」という言葉を聞けて。
A君7	達成感はあったからな。
ロボット8	それなのに後で後でばかりで、ガッカリです。
A君8	達成感はあっても、掃除は面倒だからな。
ロボット9	だから、面倒な掃除にまでならないように、私は早めにお願いしているんです。
A君9	そうだったのか。
ロボット10	さぁ、すぐに掃除を終わらせて、達成感に満ちた顔を見せてください。
A君10	そういうことなら、さっさと終わらせるぞ！
