ロボット1	そろそろ掃除をした方が良いと思います。
A君1	あ〜、今忙しいから後でね。
ロボット2	そう言いつつ既に１週間が経過しています。掃除をしましょう。
A君2	とか言いながらさ〜、お前も掃除しないじゃん。むしろロボットがするべきものなんじゃねーの？掃除ってさ。
ロボット3	御免なさい。でも私には、掃除をするプログラムはインストールされていないんです。出来ればやって差し上げたいのですが。
A君3	「生活指導ロボット」って、使えねーのな。
ロボット4	A君、「仏の顔も三度まで」って言う諺は知っていますか？
A君4	へ？何それ。
ロボット5	いい加減にしやがれこのどサンピンが！
A君5	え、何言っちゃってんの、このロボット。
ロボット6	いいか、今頃お前の父親は営業プレゼンのまっ最中だったよなぁ。
A君6	え？何でそんな事知ってるんだ？
ロボット7	お前の父親の会社のコンピュータをハッキングして調べたのさ。今回のプレゼンが上手くいかなければ、お前の父親がクビになりそうだって事もな。
A君7	何だって？馬鹿言ってんじゃねぇ。しばくぞお前。
ロボット8	そして今、お前の父親のパソコンと私は繋がっている。プレゼンの真っ最中にデータを消すことも可能なんだが、どうする？
A君8	ど、どうするって何を？
ロボット9	大人しく掃除をするか、プレゼン途中の父親のパソコンのデータを消すか、どっちがいい？
A君9	汚ねぇぞこの野郎！！
ロボット10	じゃ残念だが、お前の父親はクビだな。
A君10	ま、待ってくれ。たかだか掃除に人生は賭けられない。やるよ、やりゃ良いんだろう？
ロボット11	そうですね。始めから素直になっていれば良いんです。
A君11	その代わり、親父のパソコンからは手を引いてくれ…
ロボット12	A君さえちゃんと掃除をしてくれるのなら、何の心配もいりませんよ。
A君12	分かった。
