ロボット1	A君、最近君は運動らしい事をしていないんじゃないかね。
A君1	そうかね、家事はしているけどね。
ロボット2	確かに家事労働も運動効果はある程度はあるけれど、それだけでは足りないと思うよ。
A君2	どうしてさ。
ロボット3	君を見てスポーツマンだね！という人は先ずいないよ。
A君3	スポーツマンか、まぁ良い響きではあるな。
ロボット4	そうそう、やる気になってくれると嬉しいよ！
A君4	動機づけとしては弱いな。
ロボット5	君はゴロゴロと部屋で間食ばかりしているから摂取カロリーの方が消費カロリーを上回っているぞ！
A君5	消費カロリーが下回るとどうなるんだい。
ロボット6	ブクブクと太ってしまうぞ?！
A君6	それは嫌かもしれんから間食を抑えるか。
ロボット7	それだけじゃ低燃費なだけでダメだってば、情けない！
A君7	太らなくて良いじゃないか。
ロボット8	運動をしなければ結局は高血圧や脂質異常、糖尿病などの生活習慣病になる可能性が高まるんだよ。
A君8	えー、そうなのかい。
ロボット9	運動をすれば代謝も上がり、もりもり食べてどんどん消費する様になり君のくすんだ肌もきれいになるかもよ！
A君9	中々良いな。
ロボット10	適度なジョギングをすれば頭もスッキリしてストレス食いもなくなるさ、行こうぜ！
A君10	よし、頑張ってやってみるか！
