ロボット1	Aくん
A君1	なに？
ロボット2	今日は、すこしゴロゴロし過ぎではないですか？
A君2	だってだるいんだもん
ロボット3	そろそろ運動してみては？
A君3	えー？
ロボット4	ジョギングの時間にしましょう
A君4	やだよ、だるいって言ったじゃん
ロボット5	そんなこと言わずに
A君5	やだよ、やだったらやだ
ロボット6	Aくん、あまりわがままを言わないでください
A君6	だってさー
ロボット7	約束を破られると、どんな気持ちになると思いますか？
A君7	知らないよ、そんなの
ロボット8	Aくんは私と適度な運動をする約束をしています
A君8	そうだね
ロボット9	そこで私がある日いきなり、「今日は気分がいいから適度な運動ではなくハードにいきましょう」と言い出します
A君9	えー、やだよそんなの
ロボット10	そうですよね、どんな気持ちになりますか？
A君10	ムカつくし、理不尽だよ
ロボット	そうでしょう、私も同じ気持ちなんですよ
A君	そっかー
ロボット	それに、ジョギングはつらいだけではありませんよ
A君	なんで？
ロボット	体を動かすと、頭や体がすっきりします
A君	へー
ロボット	気持ちも爽快になります
A君	うん
ロボット	ストレス解消効果もあるんですよ
A君	そうなんだ、なんだか行きたくなってきた
ロボット	それがいいと思います
A君	よし、じゃぁ行ってくるよ
