ロボット1	A君の運動不足を解消するために、明日から一緒にジョギングをしよう？
A君1	いやだよ、疲れるしめんどくさい。
ロボット2	そんなこと言わないで…A君の今の生活を改善するためだよ！
A君2	改善する方法ならほかにもあるでしょ？
ロボット3	いや、今のA君にはいろんな改善するとこがあるけど1番は運動なんだよ…。
A君3	そんなの言われても信じないよ！
ロボット4	ひどいよA君…A君の為を思って言っているのに…。
A君4	まず、なんで1番が運動なわけ？
ロボット5	あ！やる気になってくれたの？？！
A君5	そんなわけないじゃん…ただ、話を聞くだけだよ。
ロボット6	そうだよね…、あのねA君との今までの暮らしを振り返って気づいたことがあったんだ…
A君6	それが、運動不足？
ロボット7	そう！ほんと少しずつだから気づきにくいんだけどA君の筋肉が少しずつ減ってきているんだ…
A君7	え…あ、でもたしかに足とか細くなってきたし、体力も減ったなってこの前思った…
ロボット8	でしょ！！それに、だんだん太ってきてる！これじゃあ初来肥満になるかもよ！
A君8	うわ、それはいやかも…ジョギングはじめようかな…
ロボット9	ほんと！？やる気になってくれたの？？よかったあ…
A君9	しょうがないからね…まだ衰えたくないし…
ロボット10	じゃあ、明日から一緒にジョギングしようね！！
A君10	わかったよ…ちゃんとサポート頼むね？
