ロボット1	A君最近全く運動していないから、体の為にジョギングなどしてみたらどう？
A君1	いいよ、めんどくさい。
ロボット2	めんどくさいのはわかるけど、運動不足は体に良くないよ。
A君2	そんなに影響ないよ。
ロボット3	運動不足だと、筋肉が衰えてしまうんだ。
A君3	今んとこ、普段に生活にも全く影響ないけど。
ロボット4	普段の生活に影響が出るほど筋力が落ちてしまってからでは遅いんだよ。
A君4	俺まだそんな年寄りじゃないよ。
ロボット5	年の問題じゃないよ、疲れやすいとか運動が面倒と言う事自体、既に筋力の低下が始まっているんだよ。
A君5	大げさだね。
ロボット6	当り前じゃないか、僕はA君の体の事が心配なんだ。
A君6	そんな心配するほどの事じゃないと思うけど。
ロボット7	そうやって先延ばししたが為に、後々後悔する事になってほしくないんだ。
A君7	何熱くなってんの？
ロボット8	A君の事が心配だからじゃないか、どうしてわかってくれないの？
A君8	そんな感情的になるなよ。
ロボット9	健康的に生きてゆくために必要なことなんだよ！
A君9	あ〜、分かったよめんどくさい奴だ。
ロボット10	ほんと？よかった、ジョギングしてくれるね？
A君10	はいはい分かりました、行ってきますよ。
