ロボット1	さあ、そろそろジョギングに行きましょう。
A君1	うーーん、今日はなあ気が乗らないから明日にしよう。
ロボット2	でもこんなにいいお天気ですよ、明日は雨かもしれませんし。
A君2	天気予報も当たらないから、明日もきっといい天気だよ。
ロボット3	でも今日は温度も湿度もジョギング日和ですよ、こんな日に走らないなんて、勿体ないです。
A君3	ただ走るのってさあ、つまんないと言うか。
ロボット4	自分もご一緒しますよ、勿論。
A君4	お前は疲れないからいいけどさ、こっちは疲れるんだし。
ロボット5	疲れるってことは、その後のお風呂とかマッサージも気持ちいいってことですよ。
A君5	走らなくても気持ちいいさ。
ロボット6	いやいや、絶対ジョギングの後の方がいい気分でリラックスできます、さあ行きましょう。
A君6	そんなに行きたいんなら、お前だけ走ってくるってどうよ。
ロボット7	自分が走ってもエネルギーロスするだけです。
A君7	だろ？俺だってそうさ、エネルギーロスするだけだって。
ロボット8	いいえ、あなたの場合はロスするだけじゃなくて加わるものも減るものも両方あるじゃないですか。
A君8	腹と脂肪は減るな。
ロボット9	筋肉は増えます、そのためにも行きますよ。さあ立って、サクサク走りましょう。
A君9	お前強引、生意気だぞ。
ロボット10	誰が強引にさせているんですか、生意気な言葉言わせてるの誰ですか。
A君10	うわ、こいつ怒った。ちょっとヤバいかも。
ロボット	さあ着替えて、１０秒以内に着替えて、でないと。
A君	解った解った、やれやれ行くか。
