ロボット1	最近運動量が減ってる事にお気づきですか？
A君1	いや、いつもと同じだと思ってたけど
ロボット2	このままの状態だと６か月後に体調不良になる可能性があります
A君2	６か月ってまだまだ先だし大丈夫でしょ
ロボット3	いえ、個人差がありますから状態によっては短くなる事もあります
A君3	へえ、例えばどんな病気になるの？
ロボット4	まず１番は肥満です
A君4	肥満ってちょっと太ってるだけでしょ
ロボット5	肥満からの合併症が怖いんです
A君5	合併症ってどんな？
ロボット6	動脈硬化、心臓病、高血圧、糖尿病、・・・もっとありますが続けますか？
A君6	い、いや、もういいよ・・
ロボット7	一般的に生活習慣病と言われています
A君7	へー
ロボット8	だから私の様な生活を改善する指導ロボットがいる訳です
A君8	君の仕事は分かったけど医者じゃないし詳しい事は分からないでしょ？
ロボット9	そう思われるなら来月にも健康診断の予約をいれましょうか？
A君9	健康診断って何やるの？
ロボット10	採血で血を抜かれたり、レントゲン、胃カメラ、等ですかね
A君10	注射嫌いだからそれだけは勘弁して
ロボット	じゃあ運動してもらえますか？
A君	わかったよ　注射されるよりマシだもん
