ロボット1	A君、そろそろ運動始めようよ
A君1	えー、めんどくさい。また今度からね。
ロボット2	先日もそう言ってたじゃないですか。私はA君の体が心配です。
A君2	言ってたっけ？でも、すぐに太るわけでもないから、まだ大丈夫。
ロボット3	太ったと自覚した時にはもう遅いですよ。さぁ、やりましょう。
A君3	むかつく言い方だなぁ。太らないから大丈夫だよ。
ロボット4	申し訳ありません…。私は心配だっただけなのです…
A君4	こっちこそごめん、ちょっと言いすぎたかな。僕の身長の適正体重を調べてくれる？
ロボット5	かしこまりました。A君の適正体重は○○キロ?○○キロ、です。
A君5	あれ？思ってたより低い。
ロボット6	そうなんです。Ａ君のこれまでの増加傾向から割り出すと、1年後には適正体重を超えることになります。
A君6	だから最近、よく運動をするように言ってたのか。
ロボット7	さらに、運動不足による体重増加の健康リスクはこのようなものがあります…
A君7	んー、動脈硬化や心筋梗塞、脳梗塞。どれも怖いものばかりだな。
ロボット8	心筋梗塞や脳梗塞は死に関わる病気で、一命を取り留めても、後遺症が残るリスクが非常に高いものです。
A君8	本当に怖いな。ちょっと不安になってきた。
ロボット9	私が、まずは簡単な運動メニューをお作りしました。5分で終わるものなので是非やってみてください。
A君9	5分かー。5分で命を、買うと思ったら安いもんかな。
ロボット10	これから毎日続けられるようなメニューを私が考えますので、一緒に頑張りましょう。
A君10	うん、頼んだよ。
