ロボット1	朝からゴロゴロしてばかりで体によくありませんよ。
A君1	だって別にやることもないし暇なんだもん。
ロボット2	昨日もほとんど体を動かしてないし外に出てみたらいかがです？
A君2	今日は暑いよ。
ロボット3	日中はともかく夕方からは涼しいですしちょっとジョギングでもしてみたら。
A君3	なんか気分が乗らないなぁ。
ロボット4	生活習慣病を予防しないと寿命が縮まるしそうなったら私は誰と暮らしたらいいんですか？
A君4	あ〜、商売あがったりだね。
ロボット５	そういう意味じゃなくて、今まであなたの生活を改善するために一緒にいたのに成果がでないんじゃガッカリってことですよ。
A君5	悲しいってこと？
ロボット6	そういうことです。
A君6	じゃ、僕にどうして欲しいのさ。
ロボット7	適切な運動と規則正しい生活で健康にいて欲しいんです。
A君7	健康になったらそれこそ君の存在価値がないんじゃないの？
ロボット8	いーえ、人間は健康であれば精神的にも安定する生き物なんです。それをサポートすることが私の喜びなんです。
A君8	人間じゃないのに良くわかるじゃない。
ロボット9	そのために私たちも一緒に動けるように設定されています。
A君9	え？一緒にジョギングできるの？
ロボット10	そう、付き合いますよ、あなたの健康を私が守ってあげます。
A君10	それじゃあ、もうちょっと涼しくなったら行ってみようかな。
