ロボット1	A君、そろそろ運動不足だからジョギングに行こうよ。
A君1	え?嫌だよ、明日からするよ。
ロボット2	昨日もそう言っていたよ。
A君2	そうだっけ？
ロボット3	このまま運動不足が続くと、太ったり不健康になって病気の原因になるよ。
A君3	ちょっと走ったからって病気が予防できるわけじゃないでしょ。
ロボット4	そんなことないよ。運動不足を解消することで健康な身体をつくって、病気を予防できるんだ。
A君4	本当かなぁ。ジョギングけっこうツラいからなぁ…少しくらい病気になってもいい気がしてきたよ。
ロボット5	えっ！病気になってもいいの？
A君5	病気になれば会社も休めるしね。
ロボット6	そんな…A君が病気になっちゃったら、僕すごく悲しいよ。
A君6	悲しんでくれるの？
ロボット7	当たり前だよ！僕はA君の友だちで、A君のことをよく知ってる。
A君7	そうだね。長い間一緒にいるもんね。
ロボット8	A君が病気になって苦しいと、僕も悲しい。
A君8	そっか。ロボットでも、悲しんでくれる人がいるのはなんだか嬉しいな。
ロボット9	僕だけじゃなくて、A君が元気じゃなくなって悲しむ人は他にもたくさんいるよ。
A君9	実家にも最近なかなか連絡してないな。久しぶりに家族の声も聞きたくなってきたかも。
ロボット10	A君が健康で元気にいることで、まわりの人も安心できるんだよ。
A君10	そうだね。ありがとう。ちょっとジョギングでも行くか！
