ロボット1	今日は天気もいいですし、ジョギングをしましょう。
A君1	ちょっと眠いし今日はやめとくかなぁ。
ロボット2	昨日も運動していないですよ。
A君2	あー、昨日は家で調べることいっぱいあったし、仕方ないよ。
ロボット3	週に3回は運動してください。
A君3	いや、まだ今週はじまって3日目だし。
ロボット4	1週間は、7日しかないんですよ。2日に1度はやりましょう！今週まだ運動していません。
A君4	でも、外で走るの大変だし。
ロボット5	それなら、エアロビクスのDVDもあります。
A君5	動きたくないんだよ。
ロボット6	誰のために言っていると思いますか！？わたしの役割をお分かりではないのですか？
A君6	オレのためでしょ。オレの健康のため。
ロボット7	そうです。わかってくれているのならいいのです。運動不足は、様々な病気のリスクを高めます。疫学的に見て死亡率が上がります。お願いだから、体を動かしてください。
A君7	因果関係はあんまりわかっていないんでしょ？
ロボット8	いえ、データがあります。
A君8	ロボットは、統計にばっかり頼るからなぁ。
ロボット9	では、散歩に出かけませんか。早歩きの散歩も運動です。
A君9	そんなら、どっか散歩すればいいだけなんじゃない。運動、とかいわなくたって。
ロボット10	少しは出掛ける気になりましたか。
A君10 	一寝入りしてからね。
