ロボット1	A君、ちょっと外でかけっこしてこようよ。
A君1	え、めんどくさいからやだ。
ロボット2	だって今日はいいお天気だよ。
A君2	でも、今から見たいアニメがあるんだよ。
ロボット3	アニメは録画して後で観ようよ。かけっこ一緒にいってくれたら嬉しいなあ。
A君3	明日、明日ならかけっこするかも。
ロボット4	でもねえ、明日は天気が悪いっていうよ。今日、走りたい気分だし。えっへへー。
A君4	なににやにやしてるの、気持ち悪いな。
ロボット5	え、そお？だって走ったら気持ちいいでしょ、わくわくして踊りたくなっちゃう。
A君5	踊りたくなんかないって。変な奴。
ロボット6	あれ、変な奴って僕のこと？あっははーそんなこと言われたの初めてだあ、やっほー走りたい！
A君6	じゃあ、君だけ走ればいいじゃないか。いってらっしゃい。
ロボット7	えええ！一緒にかけっこするのが楽しいんだってば。ほら、立って！
A君7	ちょっと、ひっぱらないでよ。
ロボット8	ひっぱるーるるるる、ふっふふふふ、らんらんらん。
A君8	なんなのさ。
ロボット9	Ａ君がー、かけっこしてー、かっこよくなったらー、僕うれしい！
A君9	はあ？かっこよく？
ロボット10	いえで寝転んでアニメ見てるより、公園で颯爽と走ってるほうが、かっこいい！
A君10	かっこいい、僕が？
ロボット11	そう。かっこよくて素敵！いえいっ！
A君11	かっこよく、なれるかな？
ロボット12	なれる！素敵！やっほ！
A君12	かっこいい僕、いいかも。
ロボット13	でしょでしょ？やった！かけっこいこうぜっ！！！
A君13	行こうぜっ！
