ロボット1	運動不足は健康によくないので、1日1回は外に出てジョギングしましょう。
A君1	わかってるけど、今日は気分が乗らないのでしない。
ロボット2	そんなこと、言わないで。ご飯とおやつも食べたから、体を動かそうよ。
A君2	今は眠いから後でする。
ロボット3	食べてすぐ寝るのは、短い間はいいけど長く昼寝するのは夜眠れなくなるよ。
A君3	夜も眠れるから大丈夫
ロボット4	体の為に頑張って外に行こうよ。天気もいいし。
A君4	いやだ、行きたくない。今したくない。
ロボット5	まったく、君の体だろう。運動不足なんだから、これ以上太ってどうするんだよ。
A君5	後でする。
ロボット6	わからずや。じゃあ、どれくらいしたら走るんだよ。
A君6	三時間後
ロボット7	もう夕方になるよ。夕方だと人にたくさん会うよ。いいの。
A君7	それはいや。
ロボット8	じゃあ、行こうよ。血圧も高いんだから、痩せたら下がるって先生も言ってたし。
A君8	血圧か
ロボット9	怖いよ血圧は、サイレントキラーだからさ、少しでいいから頑張ろうよ。
A君9	面倒だなー。でも先生も言ってたから少しだけジョギングしようかな。
ロボット10	いいよ、いいよ、がんばろね。
A君10	ちょっとだぞ。
