ロボット1	Aくん、このところ運動不足のようだから、そろそろジョギングに行ったらどうかな？
A君1	そうだねえ、いまこの漫画読んでるとこだから、読み終わったらね。
ロボット2	昨日もそうやって、このテレビが終わったら、って言って結局行かなかったよね。
A君2	そうだっけ？
ロボット3	そうだよ。テレビ見終わったら眠くなっちゃったって言って。
A君3	そうだった。横になってテレビ見てると、つい眠気に襲われるんだよね。
ロボット4	いまも横になって漫画読んでるね。
A君4	うん、まあね。
ロボット5	そしたら、また、眠くなって、ジョギングいけないんじゃない？
A君5	まぁ、そうなったらしょうがない。そのときはそのときだよ。
ロボット6	そうやって、僕のことを適当にあしらって、、、。
A君6	えっ？そんなことないよ。
ロボット7	そんなことあるよ。適当に言い訳しとけばすむだろうって、僕を阿保扱いしてるよ！僕のことをなめきってるよ！
A君7	いやいや、そんなことないって。
ロボット8	いい加減にしないと、僕だってブチ切れるよ！なんのために僕がいるんだと思ってるんだ！君を健康にするために言ってるのに、ちっとも聞きゃしない！
A君8	いや、本当にやろうとは思ってるよ。ただ、、、
ロボット9	言い訳ばっかりして！そうやってダラダラしてばかりだから、モテないんだよ！
A君9	あ、そこ突くか、、、
ロボット10	彼女が欲しいならさっさとジョギングして自分を磨け！でないと一生1人だぞ！
A君10	はい、、、行きます。
