ロボット1	さぁ、時間になったぞ。ゲームは１時間でやめて、勉強するんだったよね？
A君1	そうだな。ゲームはやめて、勉強を始めるとするか。
ロボット2	で、どうしてまだゲームを続けているんだ？
A君2	え？
ロボット3	え？じゃないだろう。勉強するんだからゲームは終わらせないと。
A君3	何を言ってるんだロボット君。僕はもう勉強しているじゃないか。
ロボット4	それはこっちのセリフだよ。ゲームのコントローラーを両手に持って何を言ってるんだ？
A君4	今僕は、ゲームに秘められている無限の可能性について勉強しているんだ。
ロボット5	いよいよ血迷ったか？呆れるぞ？いくら温厚なロボットでも、今度ばかりは呆れてものも言わないぞ？
A君5	それはありがたい。集中できて勉強もはかどるってものじゃないか。
ロボット6	じゃあ、その勉強がもっとはかどるようにしてあげよう。一度コントローラーを置いて。
A君6	置いたぞ。
ロボット7	ちょっとコントローラーから離れてもらえないか？
A君7	なんだそりゃ。離れたけど、どうすりつもりなんだ？
ロボット8	そして、私がコントローラーの前に来ます。
A君8	うん？うん。
ロボット9	さてA君、この複雑かつ難易度の高い勉強は私に任せて、あなたは本来の勉強を始めるんだ！
A君9	なっ、お前、ズルいぞ！
ロボット10	さぁここは私に任せて早く行くんだ！
A君10	どこぞのヒーローか、お前は！
