ロボット1	ちょっとゲーム時間長くない?そろそろやめたら？
A君1	もうちょっと！今良い所なんだよ〜。
ロボット2	さっきも同じこと言ってたじゃないか…
A君2	だって…このゲーム昨日買ったばかりで、今日はたっぷりやりたいんだよ…
ロボット3	そんなゲームばかりやってたら、時間がもったいないよ!本読んだり、外で遊んだりした方がいいと思うよ。
A君3	興味のある本、今ないし。外は暑いし。
ロボット4	ゲームばかりやってるとバカになっちゃうよ！！　良いのかい?!
A君4	いいよーーー。
ロボット5	おい！「いいよー。」じゃないよ！
A君5	なんだよ。泣くことないだろ?
ロボット6	だって…君があまりにも分からずやだから・・・
A君6	ゲームしたっていいじゃないか。何がいけないんだよ。
ロボット7	ゲームしたっていいよ?いいけど、1日30分くらいにして、他の事もたくさん経験しようよ。
A君7	たくさん経験って?
ロボット8	外で昆虫を捕まえたり、ボールを追いかけたり、そういうのも楽しいよ?
A君8	だって、遊び相手いないし。友達みんなゲームしてるよ。
ロボット9	じゃあ、僕と一緒に遊ぼうよ。
A君9	うーーーん。良いよ・・
ロボット10	じゃあ、早速公園行こう!!
A君10	公園か。。久しぶりだな〜。良いよ!!
