ロボット1	A君そろそろゲームをやめなよ
A君1	えーやだよ
ロボット2	なんでいやなの？
A君2	だって、いま1番面白いところなんだもん
ロボット3	だけどもうやめないと、ずっとやってるよ
A君3	もうちょっとだけ、もうちょっとだけ
ロボット4	本当にもう少ししたらやめるかい？
A君4	やめるよやめるよ
ロボット5	でも、昨日もそう言って止めなかったよね
A君5	昨日もいいところで声かけたからだよ
ロボット6	僕昨日、明日はちゃんとキリのいいところで早めに止めてねって言ったよ
A君6	そうだけどさ、やっぱりイベントは全部やっちゃいたいじゃん
ロボット7	それも分かるよ。でも、ご飯前にやらなくてもいいんじゃないかな
A君7	だってさーご飯の後だとお母さんが勉強勉強うるさいんだよ
ロボット8	それはA君が先に勉強をしてないのが悪いんだと思うよ
A君8	そうなんだけどさ……
ロボット9	明日からは先に勉強しよう。そしたらご飯の後いっぱいゲームできるよ
A君9	えーうっそだぁ
ロボット10	本当だよ、僕からもお母さんに言ってみるから。だから今日はもうゲームやめよう
A君10	仕方ないなぁ。そこまでいわれたらゲームやめるよ
