ロボット1	A君、もうゲーム止めましょうよ。
A君1	だめ、今重要なところなんだ。
ロボット2	セーブ出来るでしょう？
A君2	気分が乗ってるんだ。
ロボット3	もう何時間やってるんですか?
A君3	何時間だろう？あ、もうこんな時間か。
ロボット4	明日も早いんでしょう？
A君4	友達と競争してるから。
ロボット5	いい加減にしないと、スマホを取り上げますよ。
A君5	そんなことしたら、お前の電源を切るぞ。
ロボット6	早く止めないと、明日起こしませんからね。
A君6	あと10分。
ロボット7	遅刻しても知りませんからね！
A君7	お、クリアできた！
ロボット8	単位を落としたって、私の責任じゃありませんからね！
A君8	そうか、このアイテムが必要だったのか...
ロボット9	私がこんなに心配してるのに…
A君9	攻略サイトに載ってなかったなあ。
ロボット10	私は本当にあなたの役に立てているんでしょうか....
A君10	何をぶつぶつ言ってるんだ？
ロボット11	あなたの生活改善のお役に立てないようで、悲しんでいるんです。
A君11	じゃあもう止めるよ。クリアできたし。
ロボット12	そうですか、ほっとしました。
