ロボット1	A君、もうそろそろ、ゲームをやめる時間だよ。
A君1	今何時？
ロボット2	もう10時だよ。
A君2	ふーん。まだ10時かぁ　もうちょっとだけいいじゃん。
ロボット3	A君、君は、1時間前にもそう言ったよ。
A君3	そうだったっけ？まぁいいじゃん　もう少しだけやらせてよ、今いいところなんだから。
ロボット4	そうやってゲームを続けていても、ずっといいところみたいで、キリがないよ。
A君4	そんなことはないさ　キリが付いたらやめるって。
ロボット5	今キリを付ければいいんじゃないの？
A君5	バッカだなぁ　これだからロボットは使えないんだよ。
ロボット6	使えないって、どういうこと？
A君6	うるさいなぁ　だまってあっち行ってろよ。
ロボット7	ねぇA君。
A君7	邪魔すんなって。
ロボット8	私がどんなにA君のことを心配しているか、わからないの？
A君8	え？うそ？泣いてるの？
ロボット9	私はね、A君のことが何よりも大事なんだよ。
A君9	ちょっと待ってよ　わかったよ。
ロボット10	A君のためなら、いつまでも待つけど、今日はもうゲームは止めてね。
A君10	わかったわかった、そんなに泣かれたら、ゲームやる気もなくなったよ。
