ロボット1	ねえ、そんなにゲームばかりしてても良いの？
A君1	うん、もう少しだけするよ
ロボット2	あとどれくらい？
A君2	うーん・・・分からない
ロボット3	時間を決めてやらないと、疲れるし目が悪くなるよ
A君3	分かってるけど、キリの良いところまでしたいんだ
ロボット4	キリの良い所って？ゲームするなら、外で遊ぼうよ！そのほうが健康にも良いし楽しいよ。
A君4	うん、でもあとちょっとだけ・・・
ロボット5	そう言ってるけど、ずっとゲームしてるじゃない。
A君5	ロボットには関係ないでしょ。もうぼくのことは放っておいてよ。
ロボット6	ぼくは君の心配をしてるんだよ！
A君6	心配って何が心配なの？
ロボット7	ひとりでゲームばかりしていたら友達が減るよ。
A君7	そうかなあ・・・。
ロボット8	ゲームをするよりも友達と遊んだ方が楽しいし、きっと今よりも友達が増えるよ！
A君8	そうかもしれないね。友達誘って遊びに行ってくるよ。
ロボット9	うん！その方が僕も嬉しいよ
A君9	ありがとう。じゃあ、遊びに行ってくるね！
ロボット10	はーい！気を付けてね！
A君10	うん、行ってきまーす！
