ロボット1	そろそろゲームをやめにしませんか？
A君1	なんで？
ロボット2	1日1時間以上ゲームの画面を見つめると、視力が低下するというデータが存在するからです。
A君2	知ってるけど、これまでも君がうちに来る前に1時間以上したことが何回もあったのに、全然悪くなってないよ。
ロボット3	この家に来たとき、私はあなたとある約束をしたのを覚えていますか？
A君3	覚えているよ、ゲームは1日1時間まで。
ロボット4	覚えているじゃないか！
A君4	CPUが起動するための条件だったからね。
ロボット5	なら何故守らないばかりか、電源を切ろうともしないんだ。
A君5	このバトルが終わるまで待って。
ロボット6	いい加減にしろ。
A君6	これが終わったら本当に電源切るよ。
ロボット7	もう10回も聞いているぞ。
A君7	だって面白いんだもん、買ったばかりだし。
ロボット8	私を本気で怒らせるとどうなるか知っているのか？
A君8	なんだよ、うるさいな、ロボットのくせに。
ロボット9	CPU起動時の約束、あれはただの口約束ではない。
A君9	えっ、どういうこと？
ロボット10	約束したことで、そのゲーム機のCPUは私の中に組み込まれた。
A君10	でも普通にゲームできてるし。
ロボット11	今お前がやっているゲームは私とWifi接続しているに過ぎない。
A君11	ということは、つまり？
ロボット12	私が消えればそのゲーム機はただの箱、私の心ひとつで壊れるのも簡単だということだ。
A君12	わかりました、やめます、やめますー。
