ロボット1	A君、そろそろゲームをやめた方がいいと思います。
A君1	今、いいところだから、無理。
ロボット2	2時間以上のゲームは目に良くないです。
A君2	うるさいな。少し黙れよ。
ロボット3	黙りません、A君は私にとって大切な家族なんです。
A君3	ロボットのくせに。
ロボット4	そう、私はロボットですから余計にA君が心配で…
A君4	お前は過保護なんだよ。
ロボット5	A君は「VDT症候群」を知っていますか？
A君5	知らない。
ロボット6	A君はまだ若いから自覚が少ないかもしれないけれど、もしかしたら既に「VDT症候群」かもしれないと私は心配しているんです。
A君6	はあ？
ロボット7	目の使いすぎでドライアイや眼精疲労、肩凝りや首コリの原因です。
A君7	大丈夫だよ、気にしすぎ。
ロボット8	そうでしょうか…私を作ってくれた人は「人間、20歳を超えたら、一気にガタがくるよ。俺も最近一週間くらいで老眼が進んじゃってさ…老眼鏡がこれまた高くて高くて…」と言っていました。
A君8	ふうん。
ロボット9	A君にもしもの事がと考えてしまうと、私はもう不安で不安でどうしようも…！
A君9	……待って、今、ボスとの戦闘だから。
ロボット10	ではボスとの戦いが終わったら、少し目を休めてください。ホットタオルを作ってきますね。
A君10	わかったよ、眼鏡より新しいゲームの方が欲しいし。
