ロボット1	Aくん
A君1	んー？
ロボット2	今日、ゲームは何時間やっていますか？
A君2	知らない
ロボット	時間を決めてやると約束したはずです
A君	そうだね
ロボット3	今日は、もう時間を過ぎています
A君3	そう？
ロボット4	やりすぎですよ
A君4	もう少し
ロボット4	目も疲れてしまいます
A君4	平気だって
ロボット5	そろそろやめましょう
A君5	もう少しだけだってば
ロボット6	いつもそう言いますね
A君6	…
ロボット7	そしていつもやめられないです
A君7	うるさいなー
ロボット8	Aくんがゲームをやめないからですよ
A君8	…
ロボット	いうことを聞いてもらえないと、私だって怒りますよ
A君	でもゲーム楽しいし
ロボット9	じゃあ、この前の小説を読みませんか？
A君9	小説？
ロボット10	続きが気になりませんか？
A君10	んー
ロボット	ゲームは明日にして、次は本を読みましょう
A君	でもなー
ロボット	運動もいいのではないですか？
A君	そうかなー？
ロボット	散歩も気持ちがいいですよ
A君	散歩かー
ロボット	楽しいのは、ゲームだけではありませんよ
A君	そっか
ロボット	ゲームの楽しさしか知らないのはもったいないです
A君	そうだね
ロボット	はい
A君	わかった、やめるよ
