ロボット1	もう３時間もゲームをしていますからそろそろやめましょう。
A君1	今いいところなんだよ。
ロボット2	セーブをすれば続きはまた明日できますよ。
A君2	楽しいんだよね。
ロボット3	それでは私と散歩に出かけましょう。楽しいですよ。
A君3	疲れるからいいよ。
ロボット4	目に優しい緑、軽い運動、そして私の軽快なおしゃべり最高でしょう。
A君4	ゲームで緑を見てゲームで走ってゲームでチャットするよ。
ロボット5	私はA君とお話したいんです、さっきから話しかけても無視されて寂しいです。
A君5	ゲームに集中しているから全然聞こえてなかったよ。
ロボット6	愕然としました。
A君6	人間は２つのことを同時に行えないの！だからゲームに集中！
ロボット7	そう集中しつづけていては脳も疲れてベストスコアを出せません。
A君7	嫌なところをついてくるなあ。
ロボット8	気分転換にティーブレイクしましょうよ。
A君8	レアキャラを手に入れて今日はお茶なんか飲んでられないくらい楽しい。
ロボット9	そのレアキャラも音楽も全部データにすぎません。
A君9	君もね。
ロボット10	なんですって！もうやめるまで延々大声で話しかけ続けますから！
A君10	わーうるさい、やめるよやめる、だから許してちょうだい。
