ロボット1	A君、もう勉強する時間ですよ。ゲームは終わりです。やめてください。
A君1	えー、今、まだちょっとセーブできないんだ。
ロボット2	ダメですよ。すぐやめてください。お母さんに叱られますよ。
A君2	ゲーム、セーブできないんだってばぁ。しょうがないじゃん。
ロボット3	おかあさんに怒られますよ。
A君3	でも、いまやめちゃうと、今までの１時間無駄になっちゃうんだもん。
ロボット4	そうですねぇ。こまりましたねぇ。
A君4	でしょ。だからセーブできるまでまって。
ロボット5	でも、わたしはA君のお世話しなければなりませんしね。Aくんにとって、よくない事は賛成することはできないのですよ。
A君5	そうなんだ。ロボットも、ぼくのお世話も大変なんだねえ。
ロボット6	そんなこといって。A君、あなた辞める気ありますか？
A君6	もちろん、セーブ出来ればやめるよ。君は僕の大切な友達だしね。君のいうこと聞かなくて、お母さん、君をどこかにやっちゃったら、僕寂しいもん。
ロボット7	そんなこと言ってくれて私もうれしいです。そうですね、ゲームがいますぐセーブ出来ればいいんですね。
A君7	そうそう。
ロボット8	では、こうしましょう！セーブはできないけど、データーは保持できる方法です。
A君8	えーほんと？できるの？
ロボット9	簡単です。そのまま、電源を切らないで、ゲーム機を閉じてください。電源が落ちない限り、次はそこからゲーム始めれますよ。
A君9	なんだ~そんなの知ってるよ。僕は、万が一電源落ちちゃったら嫌なの。停電とか落ちたら大変でしょ。
ロボット10	でも今停電したら、やっぱりデータは消えてしまいますよ。今電源落ちようが、一緒です。僕が勉強の間、ゲームの電源を監視していますから。
A君10	そうか、参ったよ。君はそこまでしてでも、僕にゲーム辞めてもらいたいんだね、わかった、辞めるよ。負けたよ。
ロボット11	ありがとう。嬉しいです。
A君1１	僕の方こそ。でもできたらお願いが１つあるんだ。
ロボット1２	なんですか？えんりょうなく言ってください。
A君１２	僕の勉強もみててね。
ロボット１３	お安いごようです。答えは教えられませんけどね。
