ロボット1	ゲームを始めて数時間が経ちます。そろそろお止め下さい。
A君1	まだいいじゃないか。
ロボット2	ゲームを長時間プレイするのは体に悪影響です。
A君2	今いいところだからやめられないんだよ。
ロボット3	では後30分経ったらお止め下さい。
A君3	後30分でこのゲームをクリアするのは無理だよ。
ロボット4	無理でも後30分で止めた方が健康にもいいと思います。
A君4	無理だって言ってるじゃないか！この分からずや！
ロボット5	どうしてそんな事を言うんですか…？私は悲しいです…
A君5	だって後30分でゲームを止めろなんて言うから…
ロボット6	私はあなたの体を心配して言っているのです…
A君6	そんな事言われても…
ロボット7	このままではあなたの健康を著しく害してしまいます…
A君7	そうは言ってもなかなか止められなくてね…
ロボット8	このままどんどん不健康になり、あなたの体に何かあったらと思うと…
A君8	そんなに僕の体の事を心配してくれてたんだね…
ロボット9	私はいつでもあなたの健康を願っています…
A君9	ありがとう、嬉しいよ。もうゲームは止めるからそんな悲しい顔はしないでおくれよ。
ロボット10	わかりました。応じてくださってありがとうございます。
A君10	良かった、笑顔になったね。じゃあゲームの電源を切るとしよう。
