ロボット1	もう２時間ゲーム続けています、そろそろ休憩してください。
A君1	今良い所なんだ、邪魔しないでくれ。
ロボット2	目も疲れてしまいますよ、セーブしてそこまでにしておきましょう。
A君2	セーブポイントまでまだ時間がちょっとかかる。
ロボット3	そのゲーム、どこでもセーブ出来るんではなかったんですか。
A君3	何でお前が知ってるんだ、それ。
ロボット4	データとして必要だったので、とりあえずプレイしました。
A君4	お前プレイしたのか。
ロボット5	クリアしました。
A君5	時間はどのくらいで？
ロボット6	１時間はかかりませんでした。
A君6	え、だってイベントなんかは。
ロボット7	スキップしました、実際のプレイ時間で１時間弱です。
A君7	俺がこんなに苦労してるってのに。
ロボット8	効率的にやればいくらでも時間短縮してクリア出来ますよ。
A君8	自慢してるのか、てかそう聞こえるんだが。
ロボット9	自分のプログラミングしてくれたあなたか苦戦してるゲーム、自分が先にクリアできたんですから嬉しいですよ勿論。
A君9	くそ、何てこった。
ロボット10	そして充分な頭のリラックスはまた、効率的なプレイに繋がります。
A君10	つまり休めと言いたいわけだ、わかったよクリア時間短縮のためにも休憩するよ。
