ロボット1	A君、ご飯が残っているよ。
A君1	うん、あんまりそれって好きじゃないんだよね。
ロボット2	でもこれも食べないと一日の栄養が足りなくなるよ。
A君2	まあ、大丈夫でしょ。
ロボット3	大丈夫じゃないよ、こういうのは毎日の積み重ねなんだから。
A君3	もう、いちいちうるさいな。
ロボット4	いちいち？　うるさいって言ったの？
A君4	あー言ったよ。
ロボット5	ひどい！　ひどいよA君、僕はA君のことを考えて言っているのに！
A君5	だから、それがうるさいって言ってるんだろ。
ロボット6	あーまたうるさいって言ったね！
A君6	言ったよ、それが何！
ロボット7	分かったよ、もういい。
A君7	は、もういいって何？
ロボット8	僕がA君のことを考えて心配してるのに、A君はそれがうるさいんでしょ。
A君8	だって、しつこいから…。
ロボット9	いいよ、もうA君とは話さないから。
A君9	えっ、ちょっと待ってよ。
ロボット10	なんで、A君は僕がうるさいんでしょ？
A君10	いや、そこまでじゃなくてさあ…。
ロボット11	そこまでってどこまで？
A君11	こんなことでいちいち怒るなよー。
ロボット12	僕だってA君がちゃんと言うことを聞いてくれれば怒らないよ。
A君12	えーっ、さっきの食べろっていう話？
ロボット13	そう、僕の言ってたことって間違ってると思う？
A君13	間違ってはいないけど…好きじゃないんだよ、わかる？
ロボット14	わかるよ、でも体に大事な栄養なんだよ、そっちもわかって欲しいよ。
A君14	うーん…まあ…。
ロボット15	ね、お願い。
A君15	はあ、じゃあ食べればいい？
ロボット16	そう、A君が食べてくれたら僕は嬉しい。
A君16	わかった、食べるよ。
