ロボット1	A君、お食事がまだ残っているようだけれどどこか身体の調子が悪いのかい？
A君1	いや、元気だけどこれは嫌いな料理なんだよ。
ロボット2	好き嫌いを言って食事を残すのはいけないよ！
A君2	どうしてさ。
ロボット3	毎日の料理は君の体調を考えて栄養バランス良く考えて用意されているんだぞ！
A君3	味に問題ありだよ。
ロボット4	正当な理由なら解決の余地はもてるけど、問題はどこら辺にだい？
A君4	少し塩気が足りなくないかね。
ロボット5	塩分の取り過ぎは身体に良くないんだよ。
A君5	ただ、味気なくてなぁ。
ロボット6	人間の味覚は割と勘違いもさせられるからな、魚のムニエルには塩はあげられないけどレモンを持ってきたからレモン汁をかけてみなよ。
A君6	どれどれ、まぁ少し塩味を感じるな。
ロボット7	工夫次第で君の若干塩気を好む傾向にも対応出来るはずだよ。
A君7	例えばなんだい。
ロボット8	君はお味噌もいつも薄い薄いと文句を言うが、味噌を増やすのではなく出汁をもう少しいりこや昆布を複合的にたくさんしっかり取るように努力しよう。
A君8	そんなに頑張ってくれると嬉しいな。
ロボット9	A君の健康が僕の何よりの喜びなんだよ。
A君9	食事がそんなに健康に関係があるのかい。
ロボット10	絶食治療などの必要で点滴などで栄養を補給して生命維持は出来るけれど、せっかく元気な身体なのだからやはり口から物を摂るのが1番だよ。
A君10	食べられるのはありがたいね、文句を言わずに自分の味覚を広げて色々食べて健康に気をつけるよ！
